origin,destination,sexo,flow
0305901,03058,mujer,75.1835
46145,4625007,hombre,25.379500000000004
03024,0309904,hombre,133.38825000000003
46237,46025,hombre,79.5795
0309905,46170,mujer,0.88
46216,4625003,hombre,106.09575000000001
4601705,46011_AM,hombre,507.496
0301801,0303102,mujer,160.27700000000004
03107,0313903,mujer,170.97725
46145,4615903,hombre,22.419249999999998
46213,4625004,hombre,51.62400000000001
46194,4615903,hombre,80.81125
46081,46020,hombre,2516.6757499999994
46203_AM,4625010,mujer,32.238749999999996
0312201,0312203,hombre,9355.0695
1204007,12021,mujer,89.17174999999999
46178,4614702,mujer,200.41500000000002
46022_AM,46077,hombre,18.117
46190,12089,mujer,4.78125
03120,0312101,hombre,9.673
46081,46020,mujer,2674.87675
03089,0301405,mujer,14.318249999999999
46228,46109,mujer,4.7482500000000005
1204004,4625019,mujer,2.9037499999999996
46181,46055_AM,hombre,246.86874999999998
12028,4625015,hombre,4.5
0305904,0306501,hombre,39.325250000000004
4625012,4614702,mujer,99.892
4625008,46014,hombre,49.221000000000004
0300905,0300903,hombre,721.13925
4622007,1204006,hombre,14.090250000000003
0306507,03011,hombre,139.78225
0304102,4613102,mujer,13.363
46111,46205,hombre,28.073749999999997
4608304,4608302,hombre,1195.6535000000001
46145,4625010,mujer,95.271
4624802,4624802,hombre,216.19824999999997
0301404,0301401,hombre,5775.5795
46105,46035,mujer,89.29025000000001
0301803,46015,hombre,3.4574999999999996
0305002,0301405,mujer,169.14149999999998
0306604,0306503,mujer,31.017249999999997
1212603,1212601,hombre,2540.0345
03140,0313903,hombre,10.417
0301406,0305003,mujer,92.25649999999999
46170,4625019,mujer,2.92175
46216,4625002,hombre,120.66449999999999
03074_AM,0301406,mujer,11.618000000000002
46202,46202,mujer,14054.0475
46165,4625008,hombre,228.15349999999995
0306505,03114,hombre,19.966
1204004,1212602,mujer,51.80425
0310404,03093,mujer,513.3725000000001
4615901,4624401,hombre,46.284
0301406,0307903,hombre,51.92575
46169,46194,hombre,111.1635
4625003,1200901,hombre,4.50525
46039,46118_AM,hombre,826.0515
0309904,0311301,hombre,47.69575
03094,0301801,mujer,353.9765
4617102,46135,hombre,1080.7717499999999
46013,4625002,hombre,483.4512499999999
4607001,4625012,mujer,46.15675
46176,46176,mujer,190.28449999999998
46145,46257,mujer,1555.6879999999999
0300902,0300908,hombre,2746.67325
1203205,1213503,mujer,83.73849999999999
4625015,4624403,mujer,83.07250000000002
03064,03070,mujer,254.13124999999997
46143_AM,46211,hombre,99.90125
4625001,1204004,hombre,35.6935
12117,4625009,hombre,2.3607500000000003
46122,4625006,hombre,14.25975
03101,46105,mujer,6.5927500000000006
46231_AM,46203_AM,mujer,42.25
03111,0305905,mujer,49.113749999999996
46197_AM,46223,mujer,2.75
03064,0305901,mujer,60.4705
0303102,0306504,mujer,19.447000000000003
4625013,46237,mujer,165.37
0304902,03105,mujer,5.75
46042,46081,mujer,81.7195
46102,46207,mujer,47.28225
46150_AM,4601705,mujer,83.99675
03111,0306604,mujer,0.5
46231_AM,4623802,mujer,388.95225
46048,03056,mujer,2.25
4608304,46039,mujer,3.25
4608303,0306302,mujer,1.0
